CodigoInterno;Lote;Tipo_Contendor;Distrito;Cantidad
179478;TRES;ENVASES;PUENTE DE VALLECAS;1;
179366;TRES;ENVASES;CARABANCHEL;1;
179367;TRES;ENVASES;CARABANCHEL;1;
179368;TRES;ENVASES;CARABANCHEL;1;
179463;TRES;ENVASES;CARABANCHEL;1;
179415;TRES;ENVASES;PUENTE DE VALLECAS;1;
179344;TRES;ENVASES;CARABANCHEL;1;
179519;TRES;ENVASES;USERA;1;
179520;TRES;ENVASES;CARABANCHEL;1;
179521;TRES;ENVASES;CARABANCHEL;1;
179369;TRES;ENVASES;CARABANCHEL;1;
179479;TRES;ENVASES;PUENTE DE VALLECAS;1;
179352;TRES;ENVASES;PUENTE DE VALLECAS;1;
179423;TRES;ENVASES;CARABANCHEL;1;
179317;TRES;ENVASES;CARABANCHEL;1;
179424;TRES;ENVASES;CARABANCHEL;1;
179448;TRES;ENVASES;CARABANCHEL;1;
179332;TRES;ENVASES;CARABANCHEL;1;
179372;TRES;ENVASES;CARABANCHEL;1;
179449;TRES;ENVASES;CARABANCHEL;1;
179374;TRES;ENVASES;CARABANCHEL;1;
179480;TRES;ENVASES;PUENTE DE VALLECAS;1;
179464;TRES;ENVASES;CARABANCHEL;1;
179375;TRES;ENVASES;CARABANCHEL;1;
179404;TRES;ENVASES;USERA;1;
179425;TRES;ENVASES;CARABANCHEL;1;
179481;TRES;ENVASES;PUENTE DE VALLECAS;1;
179318;TRES;ENVASES;CARABANCHEL;1;
179377;TRES;ENVASES;CARABANCHEL;1;
179524;TRES;ENVASES;CARABANCHEL;1;
179433;TRES;ENVASES;CARABANCHEL;1;
179482;TRES;ENVASES;PUENTE DE VALLECAS;1;
179378;TRES;ENVASES;CARABANCHEL;1;
179434;TRES;ENVASES;CARABANCHEL;1;
179451;TRES;ENVASES;CARABANCHEL;1;
179541;TRES;ENVASES;CARABANCHEL;1;
179546;TRES;ENVASES;VILLA DE VALLECAS;1;
179542;TRES;ENVASES;CARABANCHEL;1;
179543;TRES;ENVASES;CARABANCHEL;1;
179544;TRES;ENVASES;CARABANCHEL;1;
179545;TRES;ENVASES;CARABANCHEL;1;
179282;TRES;ENVASES;PUENTE DE VALLECAS;1;
178996;TRES;ENVASES;CARABANCHEL;1;
178997;TRES;ENVASES;CARABANCHEL;1;
179452;TRES;ENVASES;CARABANCHEL;1;
179435;TRES;ENVASES;CARABANCHEL;1;
179497;TRES;ENVASES;PUENTE DE VALLECAS;1;
179088;TRES;ENVASES;VILLAVERDE;1;
178923;TRES;ENVASES;CARABANCHEL;1;
179333;TRES;ENVASES;CARABANCHEL;1;
179556;TRES;ENVASES;CARABANCHEL;1;
